Date,GDP251  ,PI074   ,FYFF    ,PSCCOMR ,FMRNBA  ,FMRRA   ,FM2,GDP252  ,IPS10   ,UTL11   ,LHUR    ,HSFR    ,PWFSA   ,GDP273  ,CES275R  ,FM1     ,FSPIN   ,FYGT10  ,EXRUS   ,CES002  ,Sfygt10,HHSNTN  ,PMI     ,PMDEL   ,PMCP    ,GDP256  ,LBOUT   ,PMNV    ,GDP263  ,GDP264  ,GDP265  ,LBMNU   ,PMNO    ,CCINRV  ,BUSLOANS,PMP     ,GDP276_1,GDP270  ,GDP253  ,LHEL    
5\1\1962,0.00471651,-5.44E-05,0.15,-0.015219865,0.003671539,0.004263522,0.000196508,0.005238672,0.004188844,81.33563333,-0.1,3.167415803,-0.003460951,-0.000294814,0.000843372,8.09E-05,-0.052360411,-0.143333333,0.002726311,0.003948513,1.156666667,-4.966666667,52.7,45.3,52.43333333,-0.004283266,0.002464925,50.06666667,0.039759397,0.009336353,0.002326727,0.00514977,54.46666667,0.005898317,0.001147666,55.83333333,-0.0015831,0.005678405,0.011079733,0
8\1\1962,0.003980068,-0.000388073,0.24,-0.009419416,0.000359536,0.001248718,-0.002396498,0.003525859,0.004606976,81.5601,0.033333333,3.15543726,0.003025585,-0.00051622,0.002536288,-0.003268353,-0.033831956,0.116666667,0.000347949,0.001214403,1.15,-2.566666667,50.16666667,44.63333333,48.23333333,0.007580204,0.006081389,43.83333333,-0.024967439,0.005429102,0.009721739,-0.000907646,53.03333333,-0.002879949,0.000765863,53.2,0.001165024,0.00493631,0.003753458,-1
11\1\1962,0.001059369,-0.000194115,0.076666667,0.00077722,0.003041186,0.004089362,0.001914114,0.006144222,0.00365142,81.63446667,-0.033333333,3.196728723,-0.001728538,0.000201004,0.001136458,0.002760831,0.013145738,-0.086666667,-0.000682779,0.001096856,1.09,4.266666667,54.06666667,48.5,46.1,-0.015011643,0.003592186,49.26666667,-0.009516543,0.005307127,0.000666337,-0.002776577,57.03333333,0.000625346,0.00192966,58.06666667,-0.001191281,0.003713162,0.019663443,-1.333333333
2\1\1963,0.005657935,0.000330098,0.043333333,-0.000543696,-0.005161749,-0.006734621,0.000975049,0.002897932,0.007954873,82.31556667,0.233333333,3.149629599,-0.002595393,-4.44E-05,0.002355426,0.002132815,0.040875523,-0.01,0.000187537,0.000773855,0.986666667,0.566666667,55,52.1,49.23333333,0.023585468,0.003185262,47.5,0.010064046,-0.010173379,-0.002624985,0.002636771,59.6,0.000837384,-0.004754342,56.83333333,0.001203053,0.001970594,0.009421976,1
5\1\1963,0.005388016,-0.000572942,-0.003333333,0.002445667,-0.002001518,-0.000448469,-0.000245588,0.004153893,0.011304177,83.78306667,-0.033333333,3.21466727,0.003029037,-0.000631727,0.002943086,-0.000527865,0.028131677,0.07,0.00081618,0.003103114,1.023333333,-4.133333333,58.53333333,56.96666667,60.26666667,0.006224901,0.003034433,52.6,0.048074236,0.010118429,-0.000567894,0.002738982,63.13333333,0.00093005,0.001077239,60.66666667,-0.000562505,0.005315214,0.009624273,-0.666666667
8\1\1963,0.008100192,0.001840239,0.366666667,-0.005008041,0.002419268,0.00502798,-0.000611678,0.005863717,0.002887831,83.5563,-0.233333333,3.223236273,-0.000433644,0.001454749,0.0020474,0.000441431,0.008099926,0.07,0.000547719,0.002026052,0.74,1.6,55.83333333,47.26666667,59.53333333,0.014031709,0.009071899,50,-0.023842428,0.01090745,0.018207337,0.001172541,60.63333333,0.000742756,-0.000712319,60.13333333,-0.000557524,0.00940647,0.004932188,0.666666667
11\1\1963,0.003366698,-0.001470488,0.123333333,0.009061555,0.003408243,-0.000359164,-0.000394124,0.003671535,0.007280329,84.20373333,0.066666667,3.212365194,0.000865991,-0.000492129,0.00193957,-0.000138856,0.016490437,0.086666667,-0.000373977,0.002352852,0.623333333,0.6,56.4,47.9,69.16666667,0.00548356,0.001092526,44.76666667,0.021252018,-0.001449349,-0.003957582,0.003361264,62.1,0.00037179,0.008064962,62.7,0.00108155,0.00342276,0.007359986,1
2\1\1964,0.009628494,0.0006057,0.01,-0.005520915,0.000271916,-0.002484257,-0.001139106,0.008537996,0.005904933,84.49563333,-0.1,3.216605694,-0.000865991,0.000454955,-0.000294727,-0.001541467,0.025941427,0.06,0.000187029,0.002848813,0.65,1.633333333,58.4,55.83333333,60.23333333,0.017352456,0.005998691,49.3,0.025825354,-0.000376548,0.001556822,0.007990805,61.6,0.001268659,-0.003757967,63.9,-0.001085824,0.008129903,0.016086228,1
5\1\1964,0.005013992,-0.001080711,0.026666667,0.002843271,-0.00234973,-0.001463898,0.000169203,0.00762588,0.01007621,85.54473333,-0.266666667,3.172700209,0.000432349,-0.00108662,0.00308304,0.000262784,0.016239624,0.02,0.000133543,0.00260008,0.723333333,-1.266666667,59.33333333,58.9,61.53333333,-0.001904027,0.001113192,52.3,0.007158517,0.009633052,0.002820424,0.001885897,62.73333333,-0.001552324,-0.00268098,61.23333333,0.000262658,0.005253715,0.01121902,2.333333333
8\1\1964,0.005887819,0.000278698,-0.033333333,0.009137575,0.005977207,0.009345912,0.002334961,0.00796893,0.006903644,86.05696667,-0.2,3.184312796,0.00043106,0.000476028,0.002582218,0.004035766,0.012251431,-0.006666667,-0.000106831,0.004432374,0.696666667,1.5,63.16666667,66.63333333,62.46666667,0.010110273,0.004272634,56,-0.003376173,0.01147936,0.000285497,0.002773513,67.06666667,-0.000575912,0.002960359,64.16666667,0.000392361,0.006114981,0.014413118,2.333333333
